serial_number,title,category,angle_or_region,status,story_file,FlashCardAdded
1,"$12,000 gone—to someone I'd never even met",financial,,done,how-i-lost-12000-someone-i-never-met.json,False
2,"Two years of ""us""—then I found out who he really was",impersonation,,done,romance-scam-lasted-two-years.json,False
3,"We were planning the wedding. The ""fiancé"" was a stranger.",impersonation,,done,i-thought-we-were-getting-married.json,False
4,He said he loved me. Then he asked for gift cards.,financial,,done,when-love-asked-for-gift-cards.json,False
5,The face was fake. The debt was real.,impersonation,,done,catfished-fake-profile-drained-savings.json,False
6,A WhatsApp romance wiped out everything I had,online,,done,whatsapp-romance-cost-me-everything.json,False
7,"I sent thousands to someone I ""loved""—here's why",financial,,done,why-i-sent-money-to-stranger-i-loved-online.json,False
8,"He was ""deployed."" The only thing real was my loss.",impersonation,,done,military-romance-scam-deployed.json,False
9,Love + crypto: how I lost both,financial,,done,i-fell-for-crypto-romance-scam.json,False
10,The one text that made me see the truth,impersonation,,done,moment-i-realised-online-partner-was-scammer.json,False
11,The returns were insane. So was what happened next.,financial,,done,too-good-to-be-true-investment-life-savings.json,False
12,"I moved my pension into ""crypto."" The platform was a ghost.",financial,,done,pension-into-fake-crypto-platform.json,False
13,One morning the app was gone. So was my money.,financial,,done,trading-app-vanished-with-my-money.json,False
14,"""Double your Bitcoin""—I believed it",financial,,done,double-your-bitcoin-scam.json,False
15,My friend said it was a sure thing. It wasn't.,financial,,done,friend-recommended-fake-investment.json,False
16,"They stole from me. Then offered to ""get it back""—for a fee.",financial,,done,recovery-room-scam-came-back-for-more.json,False
17,"A LinkedIn message cost me $50,000",employment,,done,linkedin-opportunity-cost-50000.json,False
18,The broker site was a perfect copy. My balance wasn't.,financial,,done,lost-money-cloned-broker-website.json,False
19,"Months of ""gains""—then the slow bleed began",financial,,done,pig-butchering-slowly-drained-months.json,False
20,"I trusted a celebrity ""endorsement."" Big mistake.",financial,,done,fake-celebrity-crypto-endorsements.json,False
21,The WhatsApp group wasn't investors—it was a trap,online,,done,whatsapp-investment-group-wasnt.json,False
22,I thought I was trading. I was the mark.,financial,,done,thought-day-trading-was-being-scammed.json,False
23,"My balance kept growing. Withdraw? ""Technical issue.""",financial,,done,forex-scam-account-never-withdraw.json,False
24,"A ""recovery lawyer"" tried to scam me—after I'd already been scammed",financial,,done,recovery-lawyer-tried-to-scam-again.json,False
25,"The ""guru"" and the pump-and-dump group that cleaned me out",financial,,done,pump-and-dump-fake-guru-investment-group.json,False
26,The email looked exactly like my bank's. It wasn't.,online,,done,email-looked-like-from-my-bank.json,False
27,I clicked the link. Everything changed.,online,,done,i-clicked-the-link-phishing-story.json,False
28,"""Your account is suspended""—I panicked and paid",online,,done,fake-account-suspended-email-cost-me.json,False
29,A text about my delivery ended with my card drained,online,,done,delivery-text-stole-card-details.json,False
30,"""LPG payment pending""—one click, and my phone was hijacked and money from my bank account was gone",online,,done,lpg-payment-pending-link-phone-hijacked.json,False
31,"""Amazon"" wanted me to verify. I did. They weren't Amazon.",online,,done,when-amazon-asked-verify-account.json,False
32,I thought it was the IRS. The refund was a trick.,government,,done,tax-refund-phishing-thought-irs.json,False
33,I was one click away from handing over my password,online,,done,almost-gave-password-fake-microsoft-page.json,False
34,The DocuSign looked 100% real. The link wasn't.,online,,done,docusign-scam-looked-real.json,False
35,"I ""accidentally"" paid an invoice. To a scammer.",online,,done,fake-invoice-email-paid-scammer-mistake.json,False
36,They knew my name and my boss's. I bit.,online,,done,spear-phishing-knew-my-name-and-boss.json,False
37,"The ""remote job"" wanted my bank details before I started",employment,,done,remote-job-asked-for-bank-details.json,False
38,I paid for a training kit. The job never existed.,employment,,done,paid-training-kit-job-didnt-exist.json,False
39,I lost money before I'd even had day one,employment,,done,fake-recruiter-lost-money-before-day-one.json,False
40,"Easy money for ""mystery shopping""—sounded perfect",employment,,done,mystery-shopper-scam-easy-money.json,False
41,"My ""employer"" sent a cheque. I deposited it—and the wire was gone when it bounced.",employment,,done,employer-sent-fake-cheque-deposit.json,False
42,I thought I had a job. I was shipping for criminals.,employment,,done,reshipping-scam-unwitting-parcel-mule.json,False
43,The LinkedIn offer was dream-level. It was a scam.,employment,,done,linkedin-job-offer-too-good-to-be-true.json,False
44,"I almost moved ""company"" money. It wasn't company money.",employment,,done,almost-became-money-mule.json,False
45,Visa + dream job—I paid thousands. Got neither.,employment,,done,fake-visa-job-offer-paid-thousands-upfront.json,False
46,Work from home—all they wanted was my ID. Red flag.,employment,,done,work-from-home-scheme-wanted-my-id.json,False
47,"""Send money for supplies first."" The family wasn't real.",employment,,done,babysitting-scam-send-money-supplies-first.json,False
48,"The ""talent agency"" wanted cash before any gig",employment,,done,fake-modelling-talent-agency.json,False
49,The interview asked for my credit card. I should have run.,employment,,done,interview-asked-for-credit-card.json,False
50,A pop-up said my computer was infected. I believed it.,online,,done,pop-up-computer-infected.json,False
51,I called the number on the screen. Worst call I ever made.,phone,,done,i-called-number-on-screen-tech-support.json,False
52,"""Microsoft"" called to ""fix"" my PC. They didn't.",phone,,done,when-microsoft-called-fix-my-pc.json,False
53,They called as my bank. I gave them the codes.,phone,,done,fake-bank-call-got-my-one-time-codes.json,False
54,They said they were refunding me. They emptied my account.,phone,,done,refund-call-emptied-my-account.json,False
55,"The voice said ""Grandpa."" It wasn't my grandson.",phone,,done,scammer-pretended-to-be-my-grandson.json,False
56,"""Grandma, I'm in jail—send money now""",phone,,done,grandma-im-in-jail-grandparent-scam.json,False
57,"""IRS"" called. They threatened arrest. I paid.",government,,done,hmrc-irs-called-demanding-payment.json,False
58,"The ""police"" called. The warrant was fake.",government,,done,fake-police-law-enforcement-call.json,False
59,They said my account was at risk. The call was the risk.,phone,,done,suspicious-activity-call-real-threat.json,False
60,The caller ID showed my bank. It wasn't my bank.,phone,,done,how-they-spoofed-my-banks-number.json,False
61,"""Your Social Security number is suspended""—I panicked",government,,done,social-security-number-suspended.json,False
62,"A ""security"" call asked for access. I gave it.",phone,,done,amazon-paypal-security-call-gave-access.json,False
63,"I ""won"" a lottery I'd never even entered",prizes_charity,,done,i-won-lottery-i-never-entered.json,False
64,"I won! I just had to pay a ""fee"" first. I did.",prizes_charity,,done,prize-required-upfront-fee.json,False
65,I wanted to help after the disaster. The charity was fake.,prizes_charity,,done,fake-charity-after-disaster.json,False
66,"""You've been selected!""—for a sweepstakes scam",prizes_charity,,done,youve-been-selected-sweepstakes-scam.json,False
67,A stranger left me money. Or so the email said.,prizes_charity,,done,fake-inheritance-notice.json,False
68,"Free grant—I just had to pay to ""unlock"" it",prizes_charity,,done,grant-benefit-asked-payment-first.json,False
69,"I gave to a ""celebrity"" fundraiser. There was no celebrity.",prizes_charity,,done,fake-celebrity-charity-fundraiser.json,False
70,"Pay ""taxes"" on your winnings first. The prize never came.",prizes_charity,,done,pay-taxes-on-winnings-before-prize.json,False
71,"I ""won"" a cruise. I paid ""fees."" No cruise.",prizes_charity,,done,cruise-holiday-winner-scam.json,False
